,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABERAA,Cl.Cl.Cl.O.[Cl-].[Cl-],42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[8, 17, 17, 17, 17, 17]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABIKOM,CSCCSC.Cl.Cl.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9)]","[0, 2, 3, 4, 5, 9]","[8, 8, 17, 17, 16, 16]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABIKUS,CCSCCSCC.Cl.Cl.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10)]","[0, 2, 3, 4, 5, 10]","[8, 8, 17, 17, 16, 16]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ABILAZ,Br.Br.CCSCCSCC.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10)]","[0, 2, 3, 4, 5, 10]","[8, 8, 35, 35, 16, 16]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
4,ABILED,CCOC(=O)Cn1cccc(O)c1=O.CCOC(=O)Cn1cccc(O)c1=O.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 17), (1, 16), (1, 30)]","[0, 2, 3, 17, 16, 30]","[8, 8, 8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,ABILIH,COC(=O)Cn1cccc(O)c1=O.COC(=O)Cn1cccc(O)c1=O.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 16), (1, 15), (1, 28)]","[0, 2, 3, 16, 15, 28]","[8, 8, 8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABIPAE,C#O.C#O.C#O.c1ccc(CN2CCCC2C2CCCN2Cc2ccccn2)nc1,42,2,"[(1, 2), (2, 3), (2, 5), (2, 7), (2, 14), (2, 23)]","[1, 3, 5, 7, 14, 23]","[6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABIPEI,C#O.N=O.c1ccc(CN2CCCC2C2CCCN2Cc2ccccn2)nc1,42,2,"[(1, 2), (2, 3), (2, 5), (2, 12), (2, 21), (2, 28)]","[1, 3, 5, 12, 21, 28]","[7, 6, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ABIQAF,C#O.N=O.c1ccc(CN2CCCC2C2CCCN2Cc2ccccn2)nc1,42,2,"[(1, 2), (2, 3), (2, 5), (2, 12), (2, 21), (2, 28)]","[1, 3, 5, 12, 21, 28]","[7, 6, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ABIQEJ,Br.N=O.c1ccc(CN2CCCC2C2CCCN2Cc2ccccn2)nc1,42,1,"[(0, 1), (1, 2), (1, 4), (1, 11), (1, 20), (1, 27)]","[0, 2, 4, 11, 20, 27]","[35, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
10,ABIXOC,C1C2CC3CC1CC(C2)C3.CC(C)(C)C#N.CC(C)(C)C#N.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.Nc1c(F)c(F)c(F)c(F)c1F,42,16,"[(15, 16), (16, 17), (16, 29), (16, 35), (16, 41)]","[15, 17, 29, 35, 41]","[8, 7, 7, 7, 6]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'DOUBLE']",5.0
11,ABIXUI,C1C2CC3CC1CC(C2)C3.CC(C)c1cccc(C(C)C)c1N.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.N#Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1.N#Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,42,13,"[(12, 13), (13, 14), (13, 39), (13, 55), (13, 71)]","[12, 14, 39, 55, 71]","[7, 8, 7, 7, 6]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'DOUBLE']",5.0
12,ABIYAP,C1C2CC3CC1CC(C2)C3.CC(C)(C)C#N.CC(C)(C)C#N.CC(C)c1cccc(C(C)C)c1N.OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,42,13,"[(12, 13), (13, 14), (13, 28), (13, 34), (13, 40)]","[12, 14, 28, 34, 40]","[7, 8, 7, 7, 6]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'DOUBLE']",5.0
13,ABZTMO,Nc1ccccc1S.Nc1ccccc1S.Nc1ccccc1S,42,8,"[(0, 8), (7, 8), (8, 9), (8, 17), (8, 16), (8, 24)]","[0, 7, 9, 17, 16, 24]","[7, 16, 7, 7, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
14,ACEHIZ,CC[Si](C)(C)C.Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1,42,12,"[(3, 12), (12, 13), (12, 19), (12, 31), (12, 14)]","[3, 13, 19, 31, 14]","[7, 6, 7, 7, 6]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
15,ACEHOF,CC[Si](C)(C)C.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2,42,6,"[(5, 6), (6, 7), (6, 18), (6, 29)]","[5, 7, 18, 29]","[6, 8, 8, 8]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
16,ACEHUL,CCC.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2,42,3,"[(2, 3), (3, 4), (3, 15), (3, 26)]","[2, 4, 15, 26]","[6, 8, 8, 8]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
17,ACESEG,C.C.C.C.C.CO,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[6, 6, 6, 6, 6, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
18,ACESIK,C.C.C.C.CO.CO,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7)]","[0, 2, 3, 4, 5, 7]","[6, 6, 6, 6, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
19,ACEVEJ,C#O.C#O.C#O.c1cccc1,42,2,"[(1, 2), (2, 3), (2, 5), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11)]","[1, 3, 5, 7, 8, 9, 10, 11]","[6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
20,ACEVUZ,Cl.Cl.Cl.O.O.[Cl-],42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[8, 8, 17, 17, 17, 17]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
21,ACIHOJ,C#O.C#O.C#O.COCCP1CCCP(CCOC)CCCP(CCOC)CCC1,42,20,"[(4, 20), (8, 20), (12, 20), (20, 21), (20, 23), (20, 25)]","[4, 8, 12, 21, 23, 25]","[15, 15, 15, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
22,ACIHUP,C#O.C#O.C#O.COCCP1CCCPCCCPCCC1,42,16,"[(4, 16), (8, 16), (12, 16), (16, 17), (16, 19), (16, 21)]","[4, 8, 12, 17, 19, 21]","[15, 15, 15, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
23,ACIKEE,C#N.C#N.C#N.C#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N,42,2,"[(1, 2), (2, 3), (2, 5), (2, 7), (2, 9), (2, 11), (2, 13), (2, 15)]","[1, 3, 5, 7, 9, 11, 13, 15]","[6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
24,ACILAZ,CC1OCC2OC(N=Cc3ccccc3O)C(O)C(O)C2O1.CO.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 25), (1, 16), (1, 24)]","[0, 2, 3, 25, 16, 24]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
25,ACODAX,Sc1ccccc1S.Sc1ccccc1S.[S-]c1ccccc1S,42,8,"[(0, 8), (7, 8), (8, 9), (8, 17), (8, 16), (8, 24)]","[0, 7, 9, 17, 16, 24]","[16, 16, 16, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
26,ACOSUG,O.Sc1ccccc1-c1ccccc1S.[S-]c1ccccc1-c1ccccc1S,42,1,"[(0, 1), (1, 2), (1, 16), (1, 15), (1, 29)]","[0, 2, 16, 15, 29]","[8, 16, 16, 16, 16]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
27,ACUTAU,N#CC(S)=C(S)C#N.N#CC([S-])=C(S)C#N.Sc1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,42,5,"[(4, 5), (5, 6), (5, 13), (5, 14), (5, 22), (5, 17)]","[4, 6, 13, 14, 22, 17]","[16, 16, 16, 16, 15, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
28,ACUTEY,Cl.N#CC(S)=C(S)C#N.N#CC([S-])=C(S)C#N.c1ccc(P(c2ccccc2)c2ccccc2)cc1,42,1,"[(0, 1), (1, 2), (1, 10), (1, 18), (1, 5), (1, 13)]","[0, 2, 10, 18, 5, 13]","[17, 16, 16, 15, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
29,ADASMO,C[Si](C)(C)O.C[Si](C)(C)O.C[Si](C)(C)O.C[Si](C)(C)O.NC12CC3CC(CC(C3)C1)C2.NC12CC3CC(CC(C3)C1)C2,42,5,"[(4, 5), (5, 6), (5, 17), (5, 28), (5, 33), (5, 38)]","[4, 6, 17, 28, 33, 38]","[8, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
30,ADMTMO,CNC.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2.OC12CC3CC(CC(C3)C1)C2,42,3,"[(1, 3), (3, 4), (3, 15), (3, 26), (3, 37)]","[1, 4, 15, 26, 37]","[7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
31,ADOMEO,CC(=NN=C(O)c1ccccc1)c1cccc(C(C)=NN=C(O)c2ccccc2)n1.Cl.Cl,42,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 14), (1, 16), (1, 19)]","[0, 2, 3, 6, 14, 16, 19]","[17, 17, 8, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
32,ADOMIR,O.O.O.O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 16)]","[0, 2, 3, 4, 8, 16]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
33,ADOMIS,CC(=NN=C(O)c1ccccc1)c1cccc(C(C)=NN=C(O)c2ccccc2)n1.Cl.Cl,42,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 14), (1, 16), (1, 19)]","[0, 2, 3, 6, 14, 16, 19]","[17, 17, 8, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
34,ADOMOX,O.O.O.O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 16)]","[0, 2, 3, 4, 8, 16]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
35,ADOMUD,O.O.O.O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 16)]","[0, 2, 3, 4, 8, 16]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
36,ADUFUB,Cc1c(C)c(C)c(C)c1C.O=C(O)C(F)(F)F.c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,42,10,"[(1, 10), (2, 10), (4, 10), (6, 10), (8, 10), (10, 11), (10, 18), (10, 21)]","[1, 2, 4, 6, 8, 11, 18, 21]","[6, 6, 6, 6, 6, 8, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
37,ADUHUD,C#O.C#O.C1=CC2(C=C1)CCCC2.c1ccc2cccc2c1,42,2,"[(1, 2), (2, 3), (2, 5), (2, 14), (2, 6), (2, 12), (2, 13), (2, 15), (2, 16), (2, 21), (2, 22)]","[1, 3, 5, 14, 6, 12, 13, 15, 16, 21, 22]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
38,ADUJAL,C#O.CCc1cccc1.c1ccc2cccc2c1,42,2,"[(1, 2), (2, 3), (2, 10), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 11), (2, 12), (2, 17), (2, 18)]","[1, 3, 10, 5, 6, 7, 8, 9, 11, 12, 17, 18]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
39,ADUJEP,Br.BrCCc1cccc1.C#O.c1ccc2cccc2c1,42,1,"[(0, 1), (1, 2), (1, 4), (1, 12), (1, 5), (1, 6), (1, 7), (1, 11), (1, 13), (1, 14), (1, 19), (1, 20)]","[0, 2, 4, 12, 5, 6, 7, 11, 13, 14, 19, 20]","[35, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
40,ADUPAU,Br.Br.Br.Cc1cc(CP(C(C)(C)C)C(C)(C)C)nc(CP(C(C)(C)C)C(C)(C)C)c1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 7), (1, 22)]","[0, 2, 3, 4, 7, 22]","[35, 35, 35, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
41,AFACUH,CC(C)(C)C.CC(C)(C)N.Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2O)c(C)c1.c1cc[nH]c1,42,16,"[(15, 16), (16, 17), (16, 22), (16, 27)]","[15, 17, 22, 27]","[8, 6, 7, 7]","['SINGLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",4.0
42,AFAGIA,CCc1nnc(-c2cccc(-c3nnc(CC)nn3)n2)nn1.CCc1nnc(-c2cccc(-c3nnc(CC)nn3)n2)nn1,42,8,"[(6, 8), (8, 9), (8, 23), (8, 22), (8, 36), (8, 44)]","[6, 9, 23, 22, 36, 44]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
43,AFEKAA,CO.O.O.O=[N+]([O-])c1ccc(C(O)=NN=Cc2cc(Cl)cc(Br)c2O)cc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 26), (1, 6), (1, 16)]","[0, 2, 3, 26, 6, 16]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
44,AFESEM,CN=Cc1cc(Cl)ccc1O.CN=Cc1cc(Cl)ccc1O.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 14), (1, 12), (1, 23)]","[0, 2, 3, 14, 12, 23]","[8, 8, 8, 8, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
45,AFESIQ,CN=Cc1cc(Br)ccc1O.CN=Cc1cc(Br)ccc1O.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 14), (1, 12), (1, 23)]","[0, 2, 3, 14, 12, 23]","[8, 8, 8, 8, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
46,AFIREM,Cc1cc(C)cc(NC2C3CC4CC(C3)CC2C4)c1.Cc1cc(C)cc(NC2C3CC4CC(C3)CC2C4)c1.Cc1cc(C)cc(NC2C3CC4CC(C3)CC2C4)c1,42,19,"[(8, 19), (19, 20), (19, 39)]","[8, 20, 39]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
47,AFIRIQ,Cc1cc(C)cc(NC2C3CC4CC(C3)CC2C4)c1.Cc1cc(C)cc(NC2C3CC4CC(C3)CC2C4)c1.Cc1cc(C)cc(NC2C3CC4CC(C3)CC2C4)c1.P,42,1,"[(0, 1), (1, 2), (1, 21), (1, 40)]","[0, 2, 21, 40]","[15, 7, 7, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
48,AFOKOZ,CC(C)P(Nc1cccc(NP(C(C)C)C(C)C)c1)C(C)C.CCCCP(=N)(CCCC)CCCC.I,42,1,"[(0, 1), (1, 2), (1, 16), (1, 19), (1, 31)]","[0, 2, 16, 19, 31]","[53, 7, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
49,AFOKUF,CC(C)P(Nc1cccc(NP(C(C)C)C(C)C)c1)C(C)C.CP(C)(=N)c1ccccc1.I,42,1,"[(0, 1), (1, 2), (1, 12), (1, 15), (1, 27)]","[0, 2, 12, 15, 27]","[53, 7, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
50,AFOLAM,CC(C)P(Nc1cccc(NP(C(C)C)C(C)C)c1)C(C)C.CP(=N)(c1ccccc1)c1ccccc1.I,42,1,"[(0, 1), (1, 2), (1, 17), (1, 20), (1, 32)]","[0, 2, 17, 20, 32]","[53, 7, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
51,AFOLIU,C#O.C#O.C#O.CC(C)P(Nc1cccc(NP(C(C)C)C(C)C)c1)C(C)C.I,42,1,"[(0, 1), (1, 2), (1, 4), (1, 6), (1, 8), (1, 11), (1, 23)]","[0, 2, 4, 6, 8, 11, 23]","[53, 6, 6, 6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
52,AFOLOA,CC(C)P(Nc1cccc(NP(C(C)C)C(C)C)c1)C(C)C.I.I.[I-],42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 7), (1, 19)]","[0, 2, 3, 4, 7, 19]","[53, 53, 53, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
53,AFUGEN,C#O.C#O.C#O.CC(=N)NC123[BH]45[BH]67[BH]89[BH-]1%10[BH]81%11[BH]698[BH]746[BH]814[BH]562[BH]%10%1143,42,3,"[(2, 3), (3, 4), (3, 6), (3, 8), (3, 10), (3, 11), (3, 14), (3, 19), (3, 20)]","[2, 4, 6, 8, 10, 11, 14, 19, 20]","[7, 6, 6, 6, 5, 5, 5, 5, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
54,AFUGIR,C#NC(C)(C)C.C#NC(C)(C)C.C#NC(C)(C)C.CC(=N)NC123[BH]45[BH]67[BH]89[BH]1%10[BH]81%11[BH]698[BH]746[BH]814[BH]562[BH]%10%1143.I,42,1,"[(0, 1), (1, 2), (1, 17), (1, 23), (1, 29), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10)]","[0, 2, 17, 23, 29, 6, 7, 8, 9, 10]","[53, 7, 6, 6, 6, 6, 5, 5, 5, 5]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
55,AFUQOJ,C#O.C#O.C1=COC(P(C2=CC=CO2)C2=CC=CO2)=C1.CC=O.c1cccc1,42,3,"[(1, 3), (3, 4), (3, 6), (3, 8), (3, 13), (3, 9), (3, 10), (3, 11), (3, 12)]","[1, 4, 6, 8, 13, 9, 10, 11, 12]","[6, 6, 6, 6, 15, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
56,AFXPCM,F.O.O=C(O)c1cccc(C(=O)O)n1.OO,42,1,"[(0, 1), (1, 2), (1, 3), (1, 5), (1, 4), (1, 13), (1, 16)]","[0, 2, 3, 5, 4, 13, 16]","[8, 9, 8, 8, 8, 7, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
57,AGACAO,CC(C=C(O)c1ccccc1)=NN=C(O)c1ccncc1.CO.O.O,42,1,"[(0, 1), (1, 2), (1, 3), (1, 24), (1, 7), (1, 10)]","[0, 2, 3, 24, 7, 10]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
58,AGANEB,Cl.Cl.O.O.c1cnc(-c2ncccn2)nc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 16)]","[0, 2, 3, 4, 5, 16]","[8, 8, 17, 17, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
59,AGANIF,Cl.Cl.O.O.c1ccc(-c2ccccn2)nc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 16)]","[0, 2, 3, 4, 5, 16]","[8, 8, 17, 17, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
60,AGEPEI,CS(C)=O.CS(C)=O.Cl.Cl.O.OO,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 5)]","[0, 2, 3, 4, 6, 10, 5]","[8, 17, 17, 8, 8, 8, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
61,AGIPIT,C#O.C#O.C#O.C#O.C#O.CC(C)(C)N1C(c2ccccc2)=N(C(C)(C)C)[Si]12[Sb+][Si]1(N3CCCN4CCCN2B43)N(C(C)(C)C)C(c2ccccc2)=N1C(C)(C)C,42,37,"[(8, 37), (37, 38), (37, 40), (37, 42), (37, 44), (37, 46)]","[8, 38, 40, 42, 44, 46]","[51, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
62,AGOFIO,C.C#O.C#O.C#O.CC1=Cc2cc(C)cc2S1,42,1,"[(0, 1), (1, 2), (1, 4), (1, 6), (1, 8), (1, 9), (1, 11), (1, 12), (1, 17)]","[0, 2, 4, 6, 8, 9, 11, 12, 17]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
63,AGOFOU,C.C#O.C#O.C#O.c1ccc(c2cc(c3ccccc3)c(c3ccccc3)c2)cc1,42,1,"[(0, 1), (1, 2), (1, 4), (1, 6), (1, 8), (1, 9), (1, 10), (1, 11), (1, 18)]","[0, 2, 4, 6, 8, 9, 10, 11, 18]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
64,AHETEO,CO.O.O.OC(=NN=Cc1ccccc1O)c1cc[nH+]cc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 21), (1, 11), (1, 14)]","[0, 2, 3, 21, 11, 14]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
65,AHETIS,O.O.O.OC(=NN=Cc1ccccc1O)c1cc[nH+]cc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 12), (1, 15)]","[0, 2, 3, 4, 12, 15]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
66,AHETOY,O.O.O.OC(=NN=Cc1c(O)ccc2ccccc12)c1cc[nH+]cc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 16), (1, 19)]","[0, 2, 3, 4, 16, 19]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
67,AHETUE,CO.O.O.OC(=NN=Cc1c(O)ccc2ccccc12)c1cc[nH+]cc1,42,1,"[(0, 1), (1, 2), (1, 3), (1, 25), (1, 15), (1, 18)]","[0, 2, 3, 25, 15, 18]","[8, 8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
