,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABAXOS,CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Nc1ccccc1N,76,10,"[(3, 10), (10, 11), (10, 19), (10, 18)]","[3, 11, 19, 18]","[15, 7, 15, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABAXUW,CC#N.Cl.[NH3+]N1CCOCC1.c1ccc(-c2cccc(-c3ccccn3)n2)nc1,76,1,"[(0, 1), (1, 2), (1, 9), (1, 12), (1, 23), (1, 29)]","[0, 2, 9, 12, 23, 29]","[17, 7, 7, 7, 7, 7]","['SINGLE', 'TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABAXUY,CC#N.CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Nc1ccccc1N,76,3,"[(2, 3), (3, 4), (3, 12), (3, 22), (3, 11)]","[2, 4, 12, 22, 11]","[7, 7, 15, 15, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABICET,CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Cl.Cl.N=C1CCCCC1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 10), (1, 20)]","[0, 2, 3, 10, 20]","[17, 17, 7, 15, 15]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",5.0
4,ABICIX,CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Cl.Cl.Cl.N=C1CCCCC1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 11), (1, 21)]","[0, 2, 3, 4, 11, 21]","[17, 17, 17, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",6.0
5,ABUXOK,Cl.Cl.Cl.Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 24)]","[0, 2, 3, 4, 5, 24]","[17, 17, 17, 17, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABUXOK,Cl.Cl.Cl.Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 24)]","[0, 2, 3, 4, 5, 24]","[17, 17, 17, 17, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABUYII,Br.C#O.Nc1cccc2c1C(=O)c1ccccc1C2=O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 19), (1, 21), (1, 40), (1, 17)]","[0, 2, 19, 21, 40, 17]","[35, 7, 6, 15, 15, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ACAHOB,CC(=O)c1cc(C)ccc1C.CC(=O)c1cc(C)ccc1C.CC(=O)c1cc(C)ccc1C.Cc1ccc(C)cc1,76,8,"[(6, 8), (8, 9), (8, 20), (8, 31)]","[6, 9, 20, 31]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ACAHUH,Cc1ccc(C)c(Br)c1.Cc1ccc(C)c(Br)c1.Cc1ccc(C)c(Br)c1.Cc1ccc(C)c(Br)c1,76,9,"[(8, 9), (9, 10), (9, 19), (9, 28)]","[8, 10, 19, 28]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,ACIHAV,Br.CC(C)P(C(C)C)C(C)C.Cc1c(C)c(C)c(C)c1C,76,1,"[(0, 1), (1, 2), (1, 12), (1, 14), (1, 16), (1, 18), (1, 20)]","[0, 2, 12, 14, 16, 18, 20]","[35, 15, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
11,ACIKEC,CC(C)=N.CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Cl.O,76,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 17)]","[0, 2, 3, 7, 17]","[8, 17, 7, 15, 15]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",5.0
12,ACOLOW,O.O.O=c1c(O)c(-c2ccccc2)oc2ccccc12.O=c1c(O)c(-c2ccccc2)oc2ccccc12,76,1,"[(0, 1), (1, 2), (1, 3), (1, 21), (1, 14), (1, 32)]","[0, 2, 3, 21, 14, 32]","[8, 8, 8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,ACUDEH,Cl.c1ccc(-c2cccc(-c3ccccn3)n2)nc1.c1ccc2c(-c3nccc4ccccc34)nccc2c1,76,1,"[(0, 1), (1, 2), (1, 20), (1, 13), (1, 19), (1, 31)]","[0, 2, 20, 13, 19, 31]","[17, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
14,ADADEQ,C=C(C=C1C=C(C(=N=C=S)c2ccccc2)S1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1.N=C=S.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,3,"[(2, 3), (3, 4), (3, 40), (3, 59), (3, 10), (3, 13), (3, 14)]","[2, 4, 40, 59, 10, 13, 14]","[7, 6, 15, 15, 6, 6, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
15,ADADIU,C=N=C(C1=CC(=CC(=C)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)S1)c1ccccc1.N=C=S.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,3,"[(2, 3), (3, 4), (3, 39), (3, 58), (3, 14), (3, 18)]","[2, 4, 39, 58, 14, 18]","[7, 6, 15, 15, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
16,ADECOC,C#O.C#O.C#O.Fc1c(F)c(F)c(N=NNc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.Fc1c(F)c(F)c(N=NNc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,76,21,"[(9, 21), (21, 22), (21, 24), (21, 26), (21, 28), (21, 30)]","[9, 22, 24, 26, 28, 30]","[7, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
17,ADODAY,Cc1ccc(C(C)C)cc1.SC1234[BH]567[BH]89%10[BH]%11%12%13[BH]85%14[BH]%1158[BH]%12%11%15[BH]9%13%12[BH]%1061[BH]%12%112C5%153(S)[BH]%14784,76,10,"[(3, 10), (4, 10), (5, 10), (6, 10), (8, 10), (9, 10), (10, 11), (10, 23)]","[3, 4, 5, 6, 8, 9, 11, 23]","[6, 6, 6, 6, 6, 6, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
18,ADOOSA,NC12CC3CC(CC(C3)C1)C2.O.O.O,76,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[8, 8, 8, 7]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'DOUBLE']",4.0
19,ADOOSB,CC(C)(C)N.CC(C)(C)N.O.O,76,1,"[(0, 1), (1, 2), (1, 3), (1, 8)]","[0, 2, 3, 8]","[8, 8, 7, 7]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'DOUBLE']",4.0
20,ADURAU,Cl.Cl.Cl.N.[O-]c1ccc(Cl)c2cccnc12,76,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 15)]","[0, 2, 3, 4, 5, 15]","[7, 17, 17, 17, 8, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
21,ADUREY,Cl.Cl.Cl.N.O=[N+]([O-])c1ccc([O-])c2ncccc12,76,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 14)]","[0, 2, 3, 4, 5, 14]","[7, 17, 17, 17, 8, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
22,ADURIC,Cl.N.Sc1cccc2cccnc12.Sc1cccc2cccnc12,76,1,"[(0, 1), (1, 2), (1, 3), (1, 14), (1, 12), (1, 23)]","[0, 2, 3, 14, 12, 23]","[7, 17, 16, 16, 7, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
23,AEDTOS,O.O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,76,1,"[(0, 1), (1, 2), (1, 6), (1, 9), (1, 13), (1, 17), (1, 21)]","[0, 2, 6, 9, 13, 17, 21]","[8, 8, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
24,AFADAO,C1=C(c2ccccn2)CC1.C=C(C)P(C(C)C)C(C)C.c1cccc1,76,10,"[(3, 10), (10, 11), (10, 21), (10, 12), (10, 20), (10, 22), (10, 23), (10, 24), (10, 25)]","[3, 11, 21, 12, 20, 22, 23, 24, 25]","[15, 6, 6, 6, 7, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
25,AFADES,CC(C)P(C(C)C)C(C)CC(c1ccccn1)C1CC1.c1cccc1,76,17,"[(3, 17), (7, 17), (16, 17), (17, 18), (17, 23), (17, 19), (17, 20), (17, 21), (17, 22)]","[3, 7, 16, 18, 23, 19, 20, 21, 22]","[15, 6, 7, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
26,AFADIW,C=C(C)P(C(C)C)C(C)C.CCC=Cc1ccccn1.c1cccc1,76,10,"[(3, 10), (10, 11), (10, 21), (10, 13), (10, 20), (10, 22), (10, 23), (10, 24), (10, 25)]","[3, 11, 21, 13, 20, 22, 23, 24, 25]","[15, 6, 6, 6, 7, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
27,AFIKAB,CC.CC(C)=N.CC(C)P(C(C)C)C(C)C.CC(C)P(C(C)C)C(C)C.Cl,76,1,"[(0, 1), (1, 2), (1, 4), (1, 8), (1, 18)]","[0, 2, 4, 8, 18]","[17, 6, 7, 15, 15]","['SINGLE', 'TRIPLE', 'DOUBLE', 'SINGLE', 'SINGLE']",5.0
28,AFOWIB,Cl.Cl.Cn1ccnc1N=Nc1ccccc1.Cn1ccnc1N=Nc1ccccc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 17), (1, 6), (1, 20)]","[0, 2, 3, 17, 6, 20]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
29,AFOWOH,Cc1ccc(N=Nc2nccn2C)cc1.Cc1ccc(N=Nc2nccn2C)cc1.Cl.Cl,76,1,"[(0, 1), (1, 2), (1, 3), (1, 18), (1, 6), (1, 21)]","[0, 2, 3, 18, 6, 21]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
30,AGEDUM,Cl.Cl.c1c[nH]cn1.c1c[nH]cn1.c1c[nH]cn1.c1c[nH]cn1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 13), (1, 18)]","[0, 2, 3, 8, 13, 18]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
31,AGEFAU,Cl.Cl.c1ccc2[nH]cnc2c1.c1ccc2[nH]cnc2c1.c1ccc2[nH]cnc2c1.c1ccc2[nH]cnc2c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 12), (1, 21), (1, 30)]","[0, 2, 3, 12, 21, 30]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
32,AGEFEY,Cl.Cl.c1cn[nH]c1.c1cn[nH]c1.c1cn[nH]c1.c1cn[nH]c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 13), (1, 18)]","[0, 2, 3, 8, 13, 18]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
33,AGEFIC,Cl.Cl.c1ccc2[nH]ncc2c1.c1ccc2[nH]ncc2c1.c1ccc2[nH]ncc2c1.c1ccc2[nH]ncc2c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 12), (1, 21), (1, 30)]","[0, 2, 3, 12, 21, 30]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
34,AHUXOQ,Cl.Cl.N[PH](c1ccccc1)(c1ccccc1)c1ccccc1.c1cnn([BH](n2cccn2)n2cccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 23), (1, 33), (1, 38)]","[0, 2, 3, 23, 33, 38]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
35,AHUXUW,Cl.Cl.[NH3+][PH](c1ccccc1)(c1ccccc1)c1ccccc1.c1cnn([BH](n2cccn2)n2cccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 23), (1, 33), (1, 38)]","[0, 2, 3, 23, 33, 38]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
36,AHUYAD,Cl.Cl.N=P(c1ccccc1)(c1ccccc1)c1ccccc1.c1cnn([BH](n2cccn2)n2cccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 23), (1, 33), (1, 38)]","[0, 2, 3, 23, 33, 38]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
37,AHUYEH,CC(=N)OC(C)C.Cl.Cl.c1cnn([BH](n2cccn2)n2cccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 10), (1, 20), (1, 25)]","[0, 2, 3, 10, 20, 25]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
38,AJIFEE,CS(C)=O.CS(C)=O.CS(C)=O.CS(C)=O.Cl.Cl,76,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 11), (1, 15)]","[0, 2, 3, 7, 11, 15]","[17, 17, 8, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
39,AJIXUP,Cl.O=C1C=C[n+]2ccccc21.c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 12), (1, 39), (1, 14), (1, 41)]","[0, 2, 12, 39, 14, 41]","[17, 6, 15, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
40,AJOJIV,CC(C)(C)N.COC(=O)C(NC(C)(C)C)C(NC(C)(C)C)c1ccccc1.O,76,1,"[(0, 1), (1, 2), (1, 7), (1, 10)]","[0, 2, 7, 10]","[8, 7, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
41,AJOJOB,CC1CCC(C(C)(C)c2ccccc2)C(OC(=O)C(CNC(C)(C)C)NC(C)(C)C)C1.O.O,76,1,"[(0, 1), (1, 2), (1, 3), (1, 6)]","[0, 2, 3, 6]","[8, 8, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
42,AJOJUH,CC(C)(C)N.CC1CCC(C(C)(C)c2ccccc2)C(OC(=O)C(NC(C)(C)C)C(C)NC(C)(C)C)C1.O,76,1,"[(0, 1), (1, 2), (1, 7), (1, 11)]","[0, 2, 7, 11]","[8, 7, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
43,AJOKAO,CC(C)(C)N.CCOC(=O)C(CNC(C)(C)C)NC(C)(C)C.O,76,1,"[(0, 1), (1, 2), (1, 7), (1, 10)]","[0, 2, 7, 10]","[8, 7, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
44,AJUXOU,C=C(CC)C(=O)c1ccc(OCC(=O)OCCOC(=O)c2cccnc2)c(Cl)c1Cl.Cc1ccc(C(C)C)cc1.Cl.Cl,76,1,"[(0, 1), (1, 2), (1, 3), (1, 13), (1, 4), (1, 5), (1, 9), (1, 10), (1, 11)]","[0, 2, 3, 13, 4, 5, 9, 10, 11]","[17, 17, 6, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
45,AJUZOV,C#O.C#O.Cl.Cl.O=C(O)c1ccnc(c2cc(C(=O)O)ccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 5), (1, 7), (1, 18)]","[0, 2, 3, 5, 7, 18]","[17, 17, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
46,AJUZUB,Br.Br.C#O.C#O.O=C(O)c1ccnc(c2cc(C(=O)O)ccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 5), (1, 7), (1, 18)]","[0, 2, 3, 5, 7, 18]","[35, 35, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
47,AKABAQ,C#O.C#O.I.I.O=C(O)c1ccnc(c2cc(C(=O)O)ccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 5), (1, 7), (1, 18)]","[0, 2, 3, 5, 7, 18]","[53, 53, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
48,ALAGUQ,CCOP(OCC)c1ccccc1.CCOP(OCC)c1ccccc1.CCOP(OCC)c1ccccc1.CCOP(OCC)c1ccccc1.O=CO[SnH](O)OC=O,76,8,"[(1, 8), (8, 9), (8, 22), (8, 35), (8, 48)]","[1, 9, 22, 35, 48]","[50, 15, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
49,ALEHEE,C1COCCN1.Cl.N.OC(Cc1cccc(CC(O)(c2ccccc2)c2ccccc2)n1)(c1ccccc1)c1ccccc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 39), (1, 13), (1, 26)]","[0, 2, 3, 39, 13, 26]","[7, 17, 8, 7, 8, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
50,ALEHII,C1CCNCC1.Cl.N.OC(Cc1cccc(CC(O)(c2ccccc2)c2ccccc2)n1)(c1ccccc1)c1ccccc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 39), (1, 13), (1, 26)]","[0, 2, 3, 39, 13, 26]","[7, 17, 8, 7, 8, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
51,ALEHOO,N.O=C1C=CC(=O)C(C(=O)Nc2cc(Cl)c(Cl)cc2NC(=O)c2ccccc2O)=C1[O-],76,1,"[(0, 1), (1, 2), (1, 11), (1, 20), (1, 25)]","[0, 2, 11, 20, 25]","[7, 8, 7, 7, 8]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
52,ALIQER,CSc1ccccc1C=NCCN=Cc1ccccc1S(C)=O.Cl.Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 26), (1, 6), (1, 14)]","[0, 2, 3, 26, 6, 14]","[17, 17, 7, 15, 7, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
53,ALOBOS,CC(C)(C)c1ccccc1N.Cl.Cl.c1cnn([BH](n2cccn2)n2cccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 14), (1, 24), (1, 29)]","[0, 2, 3, 14, 24, 29]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
54,ALOBUY,Cc1ccccc1N.Cl.Cl.c1cnn([BH](n2cccn2)n2cccn2)c1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 11), (1, 21), (1, 26)]","[0, 2, 3, 11, 21, 26]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
55,ALUROP,CO.N=P(c1ccccc1)(c1ccccc1)c1ccccc1.Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O,76,2,"[(1, 2), (2, 3), (2, 27), (2, 11), (2, 18), (2, 26)]","[1, 3, 27, 11, 18, 26]","[8, 8, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
56,ALURUV,N=P(c1ccccc1)(c1ccccc1)c1ccccc1.Oc1ccccc1C=NC1CCCCC1N=Cc1ccccc1O.c1cnccn1,76,24,"[(0, 24), (8, 24), (15, 24), (23, 24), (24, 25), (24, 45)]","[0, 8, 15, 23, 25, 45]","[8, 7, 7, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
57,AMIJUD,CC(C)P(C(C)C)C(C)C.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.Cl,76,1,"[(0, 1), (1, 2), (1, 31)]","[0, 2, 31]","[17, 6, 15]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
58,AMIKAK,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.[H][BH2][H].c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,3,"[(0, 3), (2, 3), (3, 4), (3, 33)]","[0, 2, 4, 33]","[1, 1, 6, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
59,AMIKEO,CC(C)P(C(C)C)C(C)C.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.N=Cc1ccccc1,76,17,"[(16, 17), (17, 18), (17, 26), (17, 25)]","[16, 18, 26, 25]","[6, 7, 15, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
60,AMUTOS,c1ccc(-c2ccccn2)cc1.c1ccc(-c2ccccn2)cc1.c1ccc(-c2ccccn2)nc1,76,6,"[(4, 6), (6, 7), (6, 19), (6, 25), (6, 18), (6, 36)]","[4, 7, 19, 25, 18, 36]","[6, 6, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
61,AMUTUY,c1ccc(-c2ccccn2)cc1.c1ccc(-c2ccccn2)cc1.c1ccc(-c2ccccn2)cc1,76,6,"[(4, 6), (6, 7), (6, 19), (6, 31), (6, 18), (6, 30)]","[4, 7, 19, 31, 18, 30]","[6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
62,ANILIU,Br.Br.N=C1C(=O)c2ccccc2-c2c1ccc(Cl)c2Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 21), (1, 40), (1, 19)]","[0, 2, 3, 21, 40, 19]","[35, 35, 7, 15, 15, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
63,ANIMAN,Br.Br.N=C1C(=O)c2ccccc2-c2ccccc21.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 19), (1, 38), (1, 17)]","[0, 2, 3, 19, 38, 17]","[35, 35, 7, 15, 15, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
64,ANIMER,Br.Br.N=C1C(=O)c2ccccc2-c2c(Br)cccc21.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 20), (1, 39), (1, 18)]","[0, 2, 3, 20, 39, 18]","[35, 35, 7, 15, 15, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
65,ANIMOB,Br.Br.O=C1C(=O)c2ccccc2-c2ccccc21.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,76,1,"[(0, 1), (1, 2), (1, 3), (1, 19), (1, 38), (1, 6)]","[0, 2, 3, 19, 38, 6]","[35, 35, 8, 15, 15, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
66,AQAWIB,Clc1ccc(C=Cc2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1.Clc1ccc(C=Cc2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,76,27,"[(18, 27), (26, 27), (27, 28), (27, 34), (27, 45), (27, 51)]","[18, 26, 28, 34, 45, 51]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
67,AQUGUP,Cc1c(C)c(C)c(C)c1C.c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,76,10,"[(1, 10), (2, 10), (4, 10), (6, 10), (8, 10), (10, 11), (10, 14)]","[1, 2, 4, 6, 8, 11, 14]","[6, 6, 6, 6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
