,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABAHIV,C1=CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,6,"[(3, 6), (6, 7), (6, 26), (6, 45)]","[3, 7, 26, 45]","[6, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABAJIZ,C=CCN1C=CN(C)C1.I.I.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 12)]","[0, 2, 3, 12]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABAJOF,CN1C=CN(CCO)C1.I.I.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 12)]","[0, 2, 3, 12]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ABAJUL,CN1C=CN(CCN2CCOCC2)C1.I.I.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 17)]","[0, 2, 3, 17]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
4,ABAKAS,CN1C=CN(CC#N)C1.I.I.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 12)]","[0, 2, 3, 12]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
5,ABAKEW,COC(=O)CN1C=CN(C)C1.I.I.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 14)]","[0, 2, 3, 14]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
6,ABAKIA,I.I.O=Cc1ccc(CN2C=CN(CCN3CCOCC3)C2)cc1.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 25)]","[0, 2, 3, 25]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
7,ABAKOG,CCOC(CN1C=CN(C)C1)OCC.I.I.c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 17)]","[0, 2, 3, 17]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ABAMIA,CC(C)(C)C(Nc1cccc(P(c2ccccc2)c2ccccc2)c1)C(C)(C)C.CC(C)(C)C(Nc1cccc(P(c2ccccc2)c2ccccc2)c1)C(C)(C)C.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 32)]","[0, 2, 3, 32]","[17, 17, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ABEHAU,C.C.C.C1CCCc2n[nH]nc2CC1.CP(C)C.CP(C)C,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 15), (1, 19)]","[0, 2, 3, 4, 15, 19]","[6, 6, 6, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
10,ABEKIF,C.C.C.CP(C)C.CP(C)C.[N-]=[N+]=N,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 7), (1, 11)]","[0, 2, 3, 4, 7, 11]","[6, 6, 6, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
11,ABIRUY,N#CS.N#CS.O=C([O-])C(=O)O.O=C([O-])C(=O)O,78,3,"[(2, 3), (3, 4), (3, 10), (3, 13), (3, 16), (3, 9)]","[2, 4, 10, 13, 16, 9]","[8, 8, 16, 16, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
12,ABISAF,N#C[SeH].N#C[SeH].O=C([O-])C(=O)O.O=C([O-])C(=O)O,78,3,"[(2, 3), (3, 4), (3, 10), (3, 13), (3, 16), (3, 9)]","[2, 4, 10, 13, 16, 9]","[8, 8, 34, 34, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,ABIWUD,CC(=N)N(C)C.CC(=N)N(C)C.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 9)]","[0, 2, 3, 9]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
14,ABOBIE,CCNC(S)=NN=Cc1cccc(C)n1.Cl,78,1,"[(0, 1), (1, 2), (1, 5), (1, 13)]","[0, 2, 5, 13]","[17, 16, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
15,ABOJOT,CCC1=CC2C=CC1C2.I.I,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9)]","[0, 2, 3, 4, 8, 9]","[53, 53, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
16,ABOQUE,CN(C)CCN=Cc1cc(F)c(F)cc1F.Cl,78,1,"[(0, 1), (1, 2), (1, 12), (1, 15)]","[0, 2, 12, 15]","[17, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
17,ABOXIY,COC(=O)C(CCSC)N=Cc1ccccc1.Cl,78,1,"[(0, 1), (1, 2), (1, 7), (1, 14)]","[0, 2, 7, 14]","[17, 16, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
18,ABUPUM,CCCCc1cc(NO)c(NO)cc1CCCC.CCCCc1cc(NO)c(NO)cc1CCCC,78,9,"[(7, 9), (9, 10), (9, 28), (9, 26)]","[7, 10, 28, 26]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
19,ABUYPT,CC(=O)CCC(C)C(C)=O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,7,"[(3, 7), (6, 7), (7, 8), (7, 27)]","[3, 6, 8, 27]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
20,ACAMPT,CC(C)(C)C(=N)O.CC(C)(C)C(=N)O.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 10)]","[0, 2, 3, 10]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
21,ACAPAV,Cl.Cl.O=C(NCCO[N+](=O)[O-])c1ccncc1.O=C(NCCO[N+](=O)[O-])c1ccncc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 18)]","[0, 2, 3, 18]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
22,ACAQUS,CCC#N.CCC#N.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9)]","[0, 2, 3, 4, 5, 9]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
23,ACARAZ,Cl.Cl.Cl.Cl.Nc1ccccc1[N+](=O)[O-].Nc1ccccc1[N+](=O)[O-],78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 15)]","[0, 2, 3, 4, 5, 15]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
24,ACARED,Cl.Cl.Cl.Cl.Nc1cccc([N+](=O)[O-])c1.Nc1cccc([N+](=O)[O-])c1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 15)]","[0, 2, 3, 4, 5, 15]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
25,ACARIH,CCC#N.CCC(=N)Nc1cccc([N+](=O)[O-])c1.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 19)]","[0, 2, 3, 4, 5, 19]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
26,ACARON,CCC(=N)Nc1cccc([N+](=O)[O-])c1.CCC(=N)Nc1cccc([N+](=O)[O-])c1.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 19)]","[0, 2, 3, 4, 5, 19]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
27,ACARUT,CCC#N.CCC(=N)Nc1ccc([N+](=O)[O-])cc1.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 19)]","[0, 2, 3, 4, 5, 19]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
28,ACASAA,CCC(=N)Nc1cccc([N+](=O)[O-])c1.CCC(=N)Nc1cccc([N+](=O)[O-])c1.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 18), (1, 28)]","[0, 2, 3, 4, 18, 28]","[17, 17, 17, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
29,ACASEE,CCC(=N)O.Cl.Cl.Cl.Cl.Nc1cccc([N+](=O)[O-])c1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 15)]","[0, 2, 3, 4, 5, 15]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
30,ACASII,CCC(=N)Nc1cccc([N+](=O)[O-])c1.CCC(=N)OC.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 19)]","[0, 2, 3, 4, 5, 19]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
31,ACATUT,Cl.Cl.Cl.Cl.c1cn[nH]c1.c1cn[nH]c1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10)]","[0, 2, 3, 4, 5, 10]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
32,ACAZOU,CS(=O)(=O)Nc1cccnc1.CS(=O)(=O)Nc1cccnc1.I.I,78,1,"[(0, 1), (1, 2), (1, 3), (1, 14)]","[0, 2, 3, 14]","[53, 53, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
33,ACBEPT,Cc1ccc(NCNc2ccc(C)cc2)cc1.c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,78,7,"[(6, 7), (7, 8), (7, 16), (7, 19)]","[6, 8, 16, 19]","[6, 6, 15, 15]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
34,ACEMEC,CC(N)C(=O)O.Cl.[Cl-],78,1,"[(0, 1), (1, 2), (1, 3), (1, 8)]","[0, 2, 3, 8]","[17, 17, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
35,ACEQAA,Cl.Cl.Clc1ccnc2c1ccc1ccc3c(Cl)ccnc3c12,78,1,"[(0, 1), (1, 2), (1, 3), (1, 19)]","[0, 2, 3, 19]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
36,ACHPTB,Br.Br.NC1CCCCC1N,78,1,"[(0, 1), (1, 2), (1, 3), (1, 10)]","[0, 2, 3, 10]","[35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
37,ACIHEZ,CNC=O.CNC=O.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9)]","[0, 2, 3, 4, 5, 9]","[17, 17, 17, 17, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
38,ACIHID,CC(C)(C)NC=O.CC(C)(C)NC=O.Cl.Cl.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 12)]","[0, 2, 3, 4, 5, 12]","[17, 17, 17, 17, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
39,ACIYEU,CP(C)O.Cl.c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,78,1,"[(0, 1), (1, 2), (1, 6), (1, 25)]","[0, 2, 6, 25]","[17, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
40,ACMPTC,CC(=N)N.CC(=N)N.N.N,78,1,"[(0, 1), (1, 2), (1, 3), (1, 7)]","[0, 2, 3, 7]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
41,ACOBOM,CCOP(OCC)OCC.CCOP(OCC)OCC.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 13)]","[0, 2, 3, 13]","[17, 17, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
42,ACOXEX,O=N=O.O=N=O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,3,"[(1, 3), (3, 4), (3, 7), (3, 26)]","[1, 4, 7, 26]","[7, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
43,ACUCIM,I.I.c1ccc(-c2nccnc2-c2ccccn2)nc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 20)]","[0, 2, 3, 20]","[53, 53, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
44,ACUQEX,Cl.Cl.Cn1c(=O)c2c(ncn2C)n(C)c1=O.[Cl-],78,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[17, 17, 17, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
45,ACUWOK,C1CSCCSCCS1.Cl.Cl,78,1,"[(0, 1), (1, 2), (1, 3), (1, 9)]","[0, 2, 3, 9]","[17, 17, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
46,ACUWUQ,Br.Br.C1CSCCSCCS1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 9)]","[0, 2, 3, 9]","[35, 35, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
47,ACUXAX,C1CSCCSCCS1.I.I,78,1,"[(0, 1), (1, 2), (1, 3), (1, 9)]","[0, 2, 3, 9]","[53, 53, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
48,ACUZIK,C=C.CC(C)(C)c1ccnc(-c2cc3ccccc3[nH]2)c1.CCc1ccccc1,78,19,"[(7, 19), (18, 19), (19, 20), (19, 28), (19, 29)]","[7, 18, 20, 28, 29]","[7, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
49,ACUZOQ,C=C.CC(C)(C)c1ccnc(-c2cc3ccccc3[nH]2)c1.c1ccccc1,78,19,"[(7, 19), (18, 19), (19, 20), (19, 22), (19, 21)]","[7, 18, 20, 22, 21]","[7, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
50,ACUZUW,CC(C)(C)c1ccnc(-c2cc3c(F)c(F)c(F)c(F)c3[nH]2)c1.CSC.c1ccccc1,78,3,"[(1, 3), (3, 4), (3, 27), (3, 22)]","[1, 4, 27, 22]","[16, 7, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
51,ADABAL,CC(C)(C)c1ccnc(-c2cc3c(F)ccc(F)c3[nH]2)c1.CSC.c1ccccc1,78,3,"[(1, 3), (3, 4), (3, 25), (3, 20)]","[1, 4, 25, 20]","[16, 7, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
52,ADABEP,CC(C)(C)c1ccnc(-c2cc3ccccc3[nH]2)c1.CSC.c1ccccc1,78,3,"[(1, 3), (3, 4), (3, 23), (3, 18)]","[1, 4, 23, 18]","[16, 7, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
53,ADEGUP,C#O.C#O.C#O,78,2,"[(1, 2), (2, 3), (2, 5)]","[1, 3, 5]","[6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
54,ADELED,CC1(C)C2=NC(=C(c3c(F)c(F)c(F)c(F)c3F)c3cc(c[nH]3)C(C)(C)C3=NC(=C(c4c(F)c(F)c(F)c(F)c4F)c4cc1c[nH]4)C=C3)C=C2,78,8,"[(7, 8), (8, 9), (8, 18), (8, 39)]","[7, 9, 18, 39]","[6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
55,ADEMAA,CC1(C)C2=NC(=C(c3c(F)c(F)c(F)c(F)c3F)c3ccc([nH]3)C(C)(C)C3=NC(=C(c4c(F)c(F)c(F)c(F)c4F)c4ccc1[nH]4)C=C3)C=C2,78,8,"[(7, 8), (8, 9), (8, 18), (8, 39)]","[7, 9, 18, 39]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
56,ADIBIC,CP(C)O.Cc1ccc(P(c2ccc(C)o2)c2ccc3c4c(ccc(P(c5ccc(C)o5)c5ccc(C)o5)c24)OCO3)o1.Cl,78,1,"[(0, 1), (1, 2), (1, 6), (1, 32)]","[0, 2, 6, 32]","[17, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
57,ADIBOI,CP(C)O.Cl.c1ccc(P(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,78,1,"[(0, 1), (1, 2), (1, 6), (1, 29)]","[0, 2, 6, 29]","[17, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
58,ADIBUL,Cl.Cl.O=P(CN(c1ccccn1)P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 25)]","[0, 2, 3, 25]","[17, 17, 7, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
59,ADIPOV,Cc1ccnc(-c2cc(C)ccn2)c1.I.I,78,1,"[(0, 1), (1, 2), (1, 3), (1, 16)]","[0, 2, 3, 16]","[53, 53, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
60,ADIXAM,Cl.Cl.FC(F)(F)c1ccccc1P(c1ccccc1)c1ccccc1.FC(F)(F)c1ccccc1P(c1ccccc1)c1ccccc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 26)]","[0, 2, 3, 26]","[17, 17, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
61,ADIXEQ,Cl.Cl.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1P(c1ccccc1)c1ccccc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1P(c1ccccc1)c1ccccc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 41)]","[0, 2, 3, 41]","[17, 17, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
62,ADIXEU,C#[N+][B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F.CCCCN1C=CN(c2cccc(N3C=CN(CCCC)C3)c2)C1,78,9,"[(8, 9), (9, 10), (9, 46), (9, 60)]","[8, 10, 46, 60]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
63,ADIXIY,C#[N+][B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F.CCCCN1C=CN(c2cc(N3C=CN(CCCC)C3)cc(C(F)(F)F)c2)C1,78,9,"[(8, 9), (9, 10), (9, 46), (9, 60)]","[8, 10, 46, 60]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
64,ADIXOE,C#[N+][B-](c1ccccc1)(c1ccccc1)c1ccccc1.CCCCN1C=CN(c2cccc(N3C=CN(CCCC)C3)c2)C1,78,9,"[(8, 9), (9, 10), (9, 31), (9, 45)]","[8, 10, 31, 45]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
65,ADIXUK,C#N[B-](c1ccccc1)(c1ccccc1)c1ccccc1.CCCCN1C=CN(c2cc(N3C=CN(CCCC)C3)cc(C(F)(F)F)c2)C1,78,9,"[(8, 9), (9, 10), (9, 31), (9, 45)]","[8, 10, 31, 45]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
66,ADIYAP,CC(=NN=C(S)N(C)C)c1c(O)[nH]c(=O)[nH]c1=O.CS(C)=O,78,11,"[(5, 11), (10, 11), (11, 12), (11, 13)]","[5, 10, 12, 13]","[7, 8, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
67,ADIYER,Cc1ccc(NC(=O)c2ccccn2)cc1.Cc1ccc(NC(=O)c2ccccn2)cc1,78,16,"[(7, 16), (15, 16), (16, 17), (16, 32)]","[7, 15, 17, 32]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
68,ADIYIV,Cc1ccc(NC(=O)c2ccccn2)cc1.Cc1ccc(NC(=O)c2ccccn2)cc1.Cl,78,1,"[(0, 1), (1, 2), (1, 18), (1, 10)]","[0, 2, 18, 10]","[17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
69,ADOWOG,C#CCn1ccccc1=O.C#CCn1ccccc1=O.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,10,"[(9, 10), (10, 11), (10, 21), (10, 40)]","[9, 11, 21, 40]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
70,ADOWUM,C#CCn1ccccc1=O.C#CCn1ccccc1=O.c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,78,10,"[(9, 10), (10, 11), (10, 21), (10, 24)]","[9, 11, 21, 24]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
71,ADOXAT,C#CCn1c(=O)cc(C)c2ccccc21.C#CCn1c(=O)cc(C)c2ccccc21.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,9,"[(8, 9), (9, 10), (9, 25), (9, 44)]","[8, 10, 25, 44]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
72,ADOXEX,C#CCn1cccn1.C#CCn1cccn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,3,"[(2, 3), (3, 4), (3, 12), (3, 31)]","[2, 4, 12, 31]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
73,ADOXIB,C#CCn1cccn1.C#CCn1cccn1.c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,78,15,"[(2, 15), (15, 16), (15, 24), (15, 32)]","[2, 16, 24, 32]","[15, 6, 6, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
74,ADUFEL,C#CC#C[Si](C)(C)C.Fc1cc(F)c(F)c(F)c1F.c1ccc(P(CCCCCCCCCCCCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,78,8,"[(7, 8), (8, 9), (8, 20), (8, 37)]","[7, 9, 20, 37]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
75,ADUGIS,COc1ccccc1N=NNc1ccccn1.Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,1,"[(0, 1), (1, 2), (1, 19), (1, 38)]","[0, 2, 19, 38]","[17, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
76,ADUHOZ,Cc1[nH]nc(N)c1Br.c1ccc(CNCc2ccccn2)nc1,78,7,"[(5, 7), (7, 8), (7, 15), (7, 22)]","[5, 8, 15, 22]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
77,ADUMAP,C.C.F.Fc1cc(C=NCc2ccc(Br)cc2)c(F)c(F)c1F.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 24), (1, 15)]","[0, 2, 3, 4, 24, 15]","[6, 6, 9, 6, 15, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
78,ADUMET,Br.C.C.Fc1ccccc1C=NCc1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 20), (1, 12)]","[0, 2, 3, 4, 20, 12]","[6, 6, 35, 6, 15, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
79,ADUMIX,C.C.C.Fc1cc(C=NCc2ccccc2)c(F)c(F)c1F.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 23), (1, 15)]","[0, 2, 3, 4, 23, 15]","[6, 6, 6, 6, 15, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
80,ADUSEZ,C#Cc1ccncc1.C#Cc1ccncc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,78,8,"[(0, 8), (8, 9), (8, 17), (8, 36)]","[0, 9, 17, 36]","[6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
81,ADUSUR,Cc1cc(C)c(-c2cnn(-c3cc(Oc4ccc5c6ccccc6n(-c6ccccn6)c5c4)nc(-c4c(C(C)C)cccc4C(C)C)c3)c2)c(C)c1,78,35,"[(15, 35), (34, 35), (35, 36), (35, 38)]","[15, 34, 36, 38]","[6, 7, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
82,ADUYUV,C.C.C.CC(=Nc1c(C)cc(C)cc1C)C(C)(OO)C(C)=Nc1c(C)cc(C)cc1C,78,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 9), (1, 21)]","[0, 2, 3, 4, 9, 21]","[6, 6, 6, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
